Plant_Species
"Armoise (Algeria) 1a camphor type - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)"
"Armoise (Algeria) 1b thujone type - Artemisia herba-albe Asso, fam. Asteraceae (Compositae)"
"Armoise (France) - Artemisia vulgaris L., fam. Asteraceae (Compositae)"
"Armoise (Israel) - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)"
"Armoise (Italy) - Artemisia vulgaris L., fam. Asteraceae (Compositae)"
"Armoise (Morocco) - Artemisia herba-alba Asso, fam. Asteraceae (Compositae)"
"Armoise (Spain) ssp. valentina - Artemisia herba-alba Asso ssp. valentina (Lam.) Marcl., fam. Asteraceae"
"Armoise flower - Artemisia vulgaris L., fam. Asteraceae (Compositae)"
"Artabotrys hexapetalus flower headspace (China) - Artabotrys hexapetalus (L.) f. Bhandari, fam. Annonaceae"
"Artemisia abaensis (China) - Artemisia abaensis Y.R. Ling et S.Y. Zhao, fam. Asteraceae (Compositae)"
"Artemisia abrotanum (Italy) - Artemisia abrotanum L., fam. Asteraceae (Compositae)"
"Artemisia afra Willd. (Kenia) - Artemisia afra Willd., fam. Asteraceae (Compositae)"
"Artemisia aksaiensis (China) - Artemisia aksaiensis Y.R. Ling, fam. Asteraceae (Compositae)"
"Artemisia alba (Belgium) - Artemisia alba Turra, fam. Asteraceae (Compositae)"
"Artemisia alba (Italy) - Artemisia alba Turra, fam. Asteraceae (Compositae)"
"Artemisia anethifolia (China) - Artemisia anethifolia Web. ex Stechm., fam. Asteraceae (Compositae)"
"Artemisia anethoides (China) - Artemisia anethoides Mattf., fam. Asteraceae (Compositae)"
"Artemisia arborescens (U.S.A.) - Artemisia arborescens L., fam. Asteraceae (Compositae)"
"Artemisia argentea (Madeira) - Artemisia argentea L'Her., fam. Asteraceae (Compositae)"
"Artemisia atrovirens (China) - Artemisia atrovirens Hand.-Mazz., fam. Asteraceae (Compositae)"
"Artemisia aucheri (Iran) 1 - Artemisia aucheri Boiss., fam. Asteraceae (Compositae)"
"Artemisia aucheri (Iran) 2 - Artemisia aucheri Boiss., fam. Asteraceae (Compositae)"
"Artemisia austriaca (Turkey) - Artemisia austriaca Jacq., fam. Asteraceae (Compositae)"
"Artemisia barrelieri - Artemisia barrelieri Besser, fam. Asteraceae (Compositae)"
"Artemisia campestris (Italy) 1 - Artemisia campestris L. ssp. borealis (Pallas), H.M. Hall et Clements"
"Artemisia campestris (Italy) 2 - Artemisia campestris L. ssp. campestris, fam. Asteraceae (Compositae)"
"Artemisia campestris (Tunisia) - Artemisia campestris L., fam. Asteraceae (Compositae)"
"Artemisia campestris, ssp. glutinosa (Italy) - Artemisia campestris L. ssp. glutinosa (Ten.) Briq. et Cavill., Asteraceae"
"Artemisia chamaemelifolia (Italy) - Artemisia chamaemelifolia Vill., fam. Asteraceae (Compositae)"
"Artemisia coerulescens - Artemisia coerulescens L. var. palmata Lam., fam. Asteraceae (Compsitae)"
"Artemisia deserti (Iran) - Artemisia deserti Krasch., fam. Asteraceae (Compositae)"
"Artemisia desertorum (China) - Artemisia desertorum Spreng., fam. Asteraceae (Compositae)"
"Artemisia diffusa (Iran) 1 - Artemisia diffusa Krasch. ex Poljak., fam. Asteraceae (Compositae)"
"Artemisia diffusa (Iran) 2 - Artemisia diffusa Krasch. ex Poljak., fam. Asteraceae (Compositae)"
"Artemisia genipi (Italy) - Artemisia genipi Weber, fam. Asteraceae (Compositae)"
"Artemisia glacialis (Italy) - Artemisia glacialis L., fam. Asteraceae (Compositae)"
